,numVoy,mmsi,numObsInVoys,type,ave_len_voy,ave_time_gap,ave_dist_gap,vi_dist_gap,vi_time_gap,numObs,numShips,numVoyages,aveNumVoyages,numVoyages_q25,vi_dist_diff_q75,vi_time_diff_q75,voy_len_q75,time_gap_q75,dist_gap_q75
188,9,135658402276906.0,64610,trawlers,16502464.888888888,551.617365230924,0.457865125033889,3.8861184445564083,2299.0694261698736,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
189,1,136929052181490.0,10606,fixed_gear,111617269.0,472.35714285714283,0.3637694401054059,0.9695568416943744,10524.966430928807,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
190,1,138705062821220.0,35330,drifting_longlines,130232817.0,469.76056338028167,0.30904110387127637,3.2590678477951447,3686.2865351411024,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
191,4,139028728648447.0,36100,fixed_gear,37473330.5,354.80193191311616,0.40379362300455635,2.188365257078826,4142.609109993923,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
192,1,139135923300128.0,22920,purse_seines,78055247.0,328.6666666666667,0.2616747252510811,0.5909962807880391,3405.700379597714,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
193,106,139761124626862.0,48211,trawlers,1455260.8962264152,1084.2411692299374,1.5495399296347157,1.4689932799774166,3205.53062538957,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
194,1,141400905437140.0,9776,trawlers,125101568.0,778.7848101265823,0.5555706652728932,2.969149363116425,12798.114373401535,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
195,87,141431600530701.0,30522,trawlers,1569838.0689655172,3044.317570891381,4.664151771068828,1.6771569018657189,4459.091664223591,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
196,8,141471888075398.0,59869,drifting_longlines,12726474.0,479.53069890626654,1.0796213673145414,1.381315521437173,1700.6390331902383,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
197,40,142159496826239.0,45923,unknown,1562896.1,36976.24527992697,11.687063997060607,1.1307259792822724,1766.625113451675,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
198,1,143694748644249.0,182075,drifting_longlines,152724882.0,755.6,0.001805226204814855,1.121203235343769,838.8066500433889,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
199,9,143906914639303.0,42522,trawlers,14287854.0,662.8354497354497,0.0012004544662066812,1.5703702646990256,3019.023333255165,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
200,1,148044796865345.0,105311,unknown,69152208.0,571.0,0.0012842052206080256,0.5189287337168508,656.6537650745419,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
201,1,149117408188942.0,18062,drifting_longlines,127569222.0,783.1340206185567,5.1229627131373014,4.970246466064718,7063.242456120924,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
202,5,149732026109185.0,39450,fixed_gear,24397524.6,2198.178947876634,3.678708454750635,2.5660771990158744,3092.302053231939,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
203,1,157226661382842.0,19239,drifting_longlines,76264392.0,1385.4778325123152,4.285799463790337,3.4978722189777565,3964.25782305853,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
204,61,157515842393095.0,174336,drifting_longlines,1341283.1147540985,2544.9579449255925,6.6445087429311265,0.6360545950383284,476.5526545346815,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
205,30,157606376843577.0,365176,drifting_longlines,4515765.433333334,760.420295672766,0.39761760167370974,0.501169925622579,371.68691684094017,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
206,1,158316964992067.0,8708,purse_seines,85268543.0,722.0,0.003880090325541895,0.899512588842535,9793.102446307568,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
207,24,160888730138947.0,82590,drifting_longlines,5909698.916666667,23720.12711481453,3.7181933694606246,2.7713758291657227,1698.1875184420182,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
208,1,160923064121683.0,4475,unknown,20549051.0,5140.666666666667,0.013155327749658142,0.9069539592955663,4592.993071077336,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
209,1,163454186850556.0,52446,unknown,102839522.0,10.0,0.0004501229626706135,1.0356649659339452,1960.9023167127466,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
210,1,164146740964321.0,74323,trawlers,149593750.0,3375.8864829396325,7.190265580950071,1.029721702576596,2012.778854175076,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
211,5,165172979135964.0,5347,unknown,11667448.0,3010.9221059327506,1.865529785194321,10.001908227994267,10916.573353293414,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
